#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Jul 20 12:14:41 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc2vp50
#SPEED GRADE:      -7
#PACKAGE:          ff1152
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AA33,sram0_dq<9>,IOB,IO_L54N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AA34,sram0_address<15>,IOB,IO_L60P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB1,adc1dataeveni_n<1>,DIFFS,IO_L51N_3/VREF_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AB2,,DIFFM,IO_L54P_3,UNUSED,,3,,,,,,,,,,
AB3,,DIFFS,IO_L48N_3,UNUSED,,3,,,,,,,,,,
AB4,,DIFFM,IO_L48P_3,UNUSED,,3,,,,,,,,,,
AB5,,DIFFS,IO_L46N_3,UNUSED,,3,,,,,,,,,,
AB6,,DIFFM,IO_L46P_3,UNUSED,,3,,,,,,,,,,
AB7,adc1dataevenq_n<5>,DIFFS,IO_L41N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AB8,adc1dataevenq_p<5>,DIFFM,IO_L41P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AB9,,DIFFS,IO_L38N_3,UNUSED,,3,,,,,,,,,,
AB10,,DIFFM,IO_L38P_3,UNUSED,,3,,,,,,,,,,
AB11,,,VCCO_3,,,3,,,,,2.50,,,,,
AB12,,,VCCO_3,,,3,,,,,2.50,,,,,
AB13,,,VCCINT,,,,,,,,1.5,,,,,
AB14,,,VCCINT,,,,,,,,1.5,,,,,
AB15,,,VCCINT,,,,,,,,1.5,,,,,
AB16,,,VCCINT,,,,,,,,1.5,,,,,
AB17,,,VCCINT,,,,,,,,1.5,,,,,
AB18,,,VCCINT,,,,,,,,1.5,,,,,
AB19,,,VCCINT,,,,,,,,1.5,,,,,
AB20,,,VCCINT,,,,,,,,1.5,,,,,
AB21,,,VCCINT,,,,,,,,1.5,,,,,
AB22,,,VCCINT,,,,,,,,1.5,,,,,
AB23,,,VCCO_6,,,6,,,,,2.50,,,,,
AB24,,,VCCO_6,,,6,,,,,2.50,,,,,
AB25,sram0_dq<31>,IOB,IO_L38P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AB26,sram0_dq<32>,IOB,IO_L38N_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB27,sram0_address<2>,IOB,IO_L41P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB28,sram0_address<3>,IOB,IO_L41N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB29,sram0_address<6>,IOB,IO_L46P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB30,sram0_address<7>,IOB,IO_L46N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB31,sram0_address<10>,IOB,IO_L48P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB32,sram0_address<11>,IOB,IO_L48N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AB33,sram0_zz,IOB,IO_L54P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AB34,sram0_dq<3>,IOB,IO_L51N_6/VREF_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AC1,adc1dataeveni_p<1>,DIFFM,IO_L51P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AC2,adc1dataevenq_n<7>,DIFFS,IO_L45N_3/VREF_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AC3,adc1dataevenq_n<6>,DIFFS,IO_L43N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AC4,adc1dataevenq_p<6>,DIFFM,IO_L43P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AC5,,,GND,,,,,,,,,,,,,
AC6,,DIFFS,IO_L40N_3,UNUSED,,3,,,,,,,,,,
AC7,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,,
AC8,,,GND,,,,,,,,,,,,,
AC9,adc1dataeveni_n<5>,DIFFS,IO_L32N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AC10,adc1dataeveni_p<5>,DIFFM,IO_L32P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AC11,,,VCCO_3,,,3,,,,,2.50,,,,,
AC12,,,VCCINT,,,,,,,,1.5,,,,,
AC13,,,VCCO_4,,,4,,,,,2.50,,,,,
AC14,,,VCCO_4,,,4,,,,,2.50,,,,,
AC15,,,VCCO_4,,,4,,,,,2.50,,,,,
AC16,,,VCCO_4,,,4,,,,,2.50,,,,,
AC17,,,VCCO_4,,,4,,,,,2.50,,,,,
AC18,,,VCCO_5,,,5,,,,,2.50,,,,,
AC19,,,VCCO_5,,,5,,,,,2.50,,,,,
AC20,,,VCCO_5,,,5,,,,,2.50,,,,,
AC21,,,VCCO_5,,,5,,,,,2.50,,,,,
AC22,,,VCCO_5,,,5,,,,,2.50,,,,,
AC23,,,VCCINT,,,,,,,,1.5,,,,,
AC24,,,VCCO_6,,,6,,,,,2.50,,,,,
AC25,sram0_dq<18>,IOB,IO_L32P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AC26,sram0_dq<19>,IOB,IO_L32N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AC27,,,GND,,,,,,,,,,,,,
AC28,sram0_dq<35>,IOB,IO_L40P_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC29,sram0_mode,IOB,IO_L40N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AC30,,,GND,,,,,,,,,,,,,
AC31,sram0_address<1>,IOB,IO_L43P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC32,sram0_address<0>,IOB,IO_L43N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC33,,DIFFS,IO_L45N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AC34,sram0_dq<2>,IOB,IO_L51P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AD1,,DIFFS,IO_L42N_3,UNUSED,,3,,,,,,,,,,
AD2,adc1dataevenq_p<7>,DIFFM,IO_L45P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AD3,adc1dataevenq_n<4>,DIFFS,IO_L39N_3/VREF_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AD4,adc1dataevenq_p<4>,DIFFM,IO_L39P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AD5,,DIFFS,IO_L37N_3,UNUSED,,3,,,,,,,,,,
AD6,,DIFFM,IO_L37P_3,UNUSED,,3,,,,,,,,,,
AD7,,DIFFS,IO_L35N_3,UNUSED,,3,,,,,,,,,,
AD8,,DIFFM,IO_L35P_3,UNUSED,,3,,,,,,,,,,
AD9,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,,
AD10,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,,
AD11,,,VCCINT,,,,,,,,1.5,,,,,
AD12,,,VCCO_4,,,4,,,,,2.50,,,,,
AD13,,,VCCO_4,,,4,,,,,2.50,,,,,
AD14,,,VCCO_4,,,4,,,,,2.50,,,,,
AD15,,,VCCO_4,,,4,,,,,2.50,,,,,
AD16,,DIFFS,IO_L49N_4,UNUSED,,4,,,,,,,,,,
AD17,,DIFFS,IO_L67N_4,UNUSED,,4,,,,,,,,,,
AD18,,DIFFM,IO_L67P_5,UNUSED,,5,,,,,,,,,,
AD19,,DIFFM,IO_L49P_5,UNUSED,,5,,,,,,,,,,
AD20,,,VCCO_5,,,5,,,,,2.50,,,,,
AD21,,,VCCO_5,,,5,,,,,2.50,,,,,
AD22,,,VCCO_5,,,5,,,,,2.50,,,,,
AD23,,,VCCO_5,,,5,,,,,2.50,,,,,
AD24,,,VCCINT,,,,,,,,1.5,,,,,
AD25,,DIFFM,IO_L20P_6,UNUSED,,6,,,,,,,,,,
AD26,,DIFFS,IO_L20N_6,UNUSED,,6,,,,,,,,,,
AD27,sram0_dq<24>,IOB,IO_L35P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AD28,sram0_dq<25>,IOB,IO_L35N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AD29,sram0_dq<29>,IOB,IO_L37P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AD30,sram0_dq<30>,IOB,IO_L37N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AD31,sram0_dq<33>,IOB,IO_L39P_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AD32,sram0_dq<34>,IOB,IO_L39N_6/VREF_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AD33,,DIFFM,IO_L45P_6,UNUSED,,6,,,,,,,,,,
AD34,sram0_address<5>,IOB,IO_L42N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AE1,,DIFFM,IO_L42P_3,UNUSED,,3,,,,,,,,,,
AE2,adc1ddrb_n,DIFFS,IO_L36N_3,OUTPUT,LVDS_25,3,,,NONE**,,,LOCATED,,NO,NONE,
AE3,,,GND,,,,,,,,,,,,,
AE4,adc1dataeveni_n<4>,DIFFS,IO_L34N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AE5,adc1dataeveni_p<4>,DIFFM,IO_L34P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AE6,,,VCCO_3,,,3,,,,,2.50,,,,,
AE7,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,,
AE8,,DIFFM,IO_L23P_3,UNUSED,,3,,,,,,,,,,
AE9,,,CCLK,,,,,,,,,,,,,
AE10,,,DONE,,,,,,,,,,,,,
AE11,,DIFFS,IO_L07N_4,UNUSED,,4,,,,,,,,,,
AE12,,DIFFS,IO_L19N_4,UNUSED,,4,,,,,,,,,,
AE13,,DIFFS,IO_L37N_4,UNUSED,,4,,,,,,,,,,
AE14,,DIFFS,IO_L43N_4,UNUSED,,4,,,,,,,,,,
AE15,,DIFFS,IO_L46N_4,UNUSED,,4,,,,,,,,,,
AE16,,DIFFM,IO_L49P_4,UNUSED,,4,,,,,,,,,,
AE17,,DIFFM,IO_L67P_4,UNUSED,,4,,,,,,,,,,
AE18,,DIFFS,IO_L67N_5,UNUSED,,5,,,,,,,,,,
AE19,,DIFFS,IO_L49N_5,UNUSED,,5,,,,,,,,,,
AE20,,DIFFM,IO_L46P_5,UNUSED,,5,,,,,,,,,,
AE21,,DIFFM,IO_L43P_5,UNUSED,,5,,,,,,,,,,
AE22,,DIFFM,IO_L37P_5,UNUSED,,5,,,,,,,,,,
AE23,,DIFFM,IO_L19P_5,UNUSED,,5,,,,,,,,,,
AE24,,DIFFM,IO_L07P_5,UNUSED,,5,,,,,,,,,,
AE25,,,M2,,,,,,,,,,,,,
AE26,,,M1,,,,,,,,,,,,,
AE27,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,,
AE28,,DIFFS,IO_L23N_6,UNUSED,,6,,,,,,,,,,
AE29,,,VCCO_6,,,6,,,,,2.50,,,,,
AE30,sram0_dq<22>,IOB,IO_L34P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AE31,sram0_dq<23>,IOB,IO_L34N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AE32,,,GND,,,,,,,,,,,,,
AE33,sram0_dq<28>,IOB,IO_L36N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AE34,sram0_address<4>,IOB,IO_L42P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AF1,,,GND,,,,,,,,,,,,,
AF2,adc1ddrb_p,DIFFM,IO_L36P_3,OUTPUT,LVDS_25,3,,,NONE**,,,LOCATED,,NO,NONE,
AF3,,DIFFS,IO_L31N_3,UNUSED,,3,,,,,,,,,,
AF4,,DIFFM,IO_L31P_3,UNUSED,,3,,,,,,,,,,
AF5,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,,
AF6,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,,
AF7,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,,
AF8,,DIFFM,IO_L17P_3,UNUSED,,3,,,,,,,,,,
AF9,,,PWRDWN_B,,,,,,,,,,,,,
AF10,,DIFFM,IO_L05_4/No_Pair,UNUSED,,4,,,,,,,,,,
AF11,,DIFFM,IO_L07P_4/VREF_4,UNUSED,,4,,,,,,,,,,
AF12,,DIFFM,IO_L19P_4,UNUSED,,4,,,,,,,,,,
AF13,,DIFFM,IO_L37P_4,UNUSED,,4,,,,,,,,,,
AF14,,DIFFM,IO_L43P_4,UNUSED,,4,,,,,,,,,,
AF15,,DIFFM,IO_L46P_4,UNUSED,,4,,,,,,,,,,
AF16,,DIFFS,IO_L55N_4,UNUSED,,4,,,,,,,,,,
AF17,,DIFFS,IO_L73N_4,UNUSED,,4,,,,,,,,,,
AF18,rs232_tx,IOB,IO_L73P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AF19,,DIFFM,IO_L55P_5,UNUSED,,5,,,,,,,,,,
AF20,,DIFFS,IO_L46N_5,UNUSED,,5,,,,,,,,,,
AF21,,DIFFS,IO_L43N_5,UNUSED,,5,,,,,,,,,,
AF22,,DIFFS,IO_L37N_5,UNUSED,,5,,,,,,,,,,
AF23,,DIFFS,IO_L19N_5,UNUSED,,5,,,,,,,,,,
AF24,,DIFFS,IO_L07N_5/VREF_5,UNUSED,,5,,,,,,,,,,
AF25,,DIFFS,IO_L05_5/No_Pair,UNUSED,,5,,,,,,,,,,
AF26,,,M0,,,,,,,,,,,,,
AF27,,DIFFM,IO_L17P_6,UNUSED,,6,,,,,,,,,,
AF28,,DIFFS,IO_L17N_6,UNUSED,,6,,,,,,,,,,
AF29,,DIFFM,IO_L22P_6,UNUSED,,6,,,,,,,,,,
AF30,,DIFFS,IO_L22N_6,UNUSED,,6,,,,,,,,,,
AF31,,DIFFM,IO_L31P_6,UNUSED,,6,,,,,,,,,,
AF32,sram0_dq<26>,IOB,IO_L31N_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AF33,sram0_dq<27>,IOB,IO_L36P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AF34,,,GND,,,,,,,,,,,,,
AG1,,DIFFS,IO_L33N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AG2,,DIFFM,IO_L33P_3,UNUSED,,3,,,,,,,,,,
AG3,,DIFFS,IO_L21N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AG4,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,,
AG5,,DIFFS,IO_L15N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AG6,,DIFFM,IO_L15P_3,UNUSED,,3,,,,,,,,,,
AG7,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,,
AG8,,,GND,,,,,,,,,,,,,
AG9,,DIFFS,IO_L02N_4/D0,UNUSED,,4,,,,,,,,,,
AG10,,DIFFS,IO_L08N_4,UNUSED,,4,,,,,,,,,,
AG11,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,,
AG12,,,GND,,,,,,,,,,,,,
AG13,,DIFFS,IO_L38N_4,UNUSED,,4,,,,,,,,,,
AG14,,DIFFS,IO_L47N_4,UNUSED,,4,,,,,,,,,,
AG15,,,GND,,,,,,,,,,,,,
AG16,,DIFFM,IO_L55P_4,UNUSED,,4,,,,,,,,,,
AG17,,DIFFM,IO_L73P_4,UNUSED,,4,,,,,,,,,,
AG18,rs232_rx,IOB,IO_L73N_5,INPUT,LVCMOS25*,5,,,,NONE,,LOCATED,,YES,NONE,
AG19,,DIFFS,IO_L55N_5,UNUSED,,5,,,,,,,,,,
AG20,,,GND,,,,,,,,,,,,,
AG21,,DIFFM,IO_L47P_5,UNUSED,,5,,,,,,,,,,
AG22,,DIFFM,IO_L38P_5,UNUSED,,5,,,,,,,,,,
AG23,,,GND,,,,,,,,,,,,,
AG24,,DIFFM,IO_L25P_5,UNUSED,,5,,,,,,,,,,
AG25,,DIFFM,IO_L08P_5,UNUSED,,5,,,,,,,,,,
AG26,,DIFFM,IO_L02P_5/D7,UNUSED,,5,,,,,,,,,,
AG27,,,GND,,,,,,,,,,,,,
AG28,,DIFFS,IO_L05N_6,UNUSED,,6,,,,,,,,,,
AG29,,DIFFM,IO_L15P_6,UNUSED,,6,,,,,,,,,,
AG30,,DIFFS,IO_L15N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AG31,,DIFFM,IO_L21P_6,UNUSED,,6,,,,,,,,,,
AG32,,DIFFS,IO_L21N_6/VREF_6,UNUSED,,6,,,,,,,,,,
AG33,sram0_dq<20>,IOB,IO_L33P_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AG34,sram0_dq<21>,IOB,IO_L33N_6/VREF_6,BIDIR,LVCMOS25*,6,12,SLOW,NONE**,NONE,,LOCATED,,YES,NONE,
AH1,,DIFFS,IO_L24N_3,UNUSED,,3,,,,,,,,,,
AH2,,DIFFM,IO_L24P_3,UNUSED,,3,,,,,,,,,,
AH3,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,,
AH4,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,,
AH5,adc1dataeveni_n<7>,DIFFS,IO_L04N_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,NO,NONE,
AH6,adc1dataeveni_p<7>,DIFFM,IO_L04P_3,INPUT,LVDS_25_DT,3,,,,NONE,,LOCATED,,YES,NONE,
AH7,,,GND,,,,,,,,,,,,,
AH8,,DIFFM,IO_L05P_3,UNUSED,,3,,,,,,,,,,
AH9,,DIFFM,IO_L02P_4/D1,UNUSED,,4,,,,,,,,,,
AH10,,DIFFM,IO_L08P_4,UNUSED,,4,,,,,,,,,,
AH11,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,,
AH12,,DIFFS,IO_L26N_4,UNUSED,,4,,,,,,,,,,
AH13,,DIFFM,IO_L38P_4,UNUSED,,4,,,,,,,,,,
AH14,,DIFFM,IO_L47P_4,UNUSED,,4,,,,,,,,,,
AH15,,DIFFS,IO_L56N_4,UNUSED,,4,,,,,,,,,,
AH16,,DIFFS,IO_L68N_4,UNUSED,,4,,,,,,,,,,
AH17,,DIFFS,IO_L74N_4/GCLK3S,UNUSED,,4,,,,,,,,,,
AH18,,DIFFM,IO_L74P_5/GCLK4P,UNUSED,,5,,,,,,,,,,
AH19,,DIFFM,IO_L68P_5,UNUSED,,5,,,,,,,,,,
AH20,,DIFFM,IO_L56P_5,UNUSED,,5,,,,,,,,,,
AH21,,DIFFS,IO_L47N_5,UNUSED,,5,,,,,,,,,,
AH22,,DIFFS,IO_L38N_5,UNUSED,,5,,,,,,,,,,
AH23,,DIFFM,IO_L26P_5,UNUSED,,5,,,,,,,,,,
AH24,,DIFFS,IO_L25N_5,UNUSED,,5,,,,,,,,,,
AH25,,DIFFS,IO_L08N_5,UNUSED,,5,,,,,,,,,,
AH26,,DIFFS,IO_L02N_5/D6,UNUSED,,5,,,,,,,,,,
AH27,,DIFFM,IO_L05P_6,UNUSED,,6,,,,,,,,,,
AH28,,,GND,,,,,,,,,,,,,
AH29,i_128w_2k_10_r310iadc_led2_sync_ext<0>,IOB,IO_L04P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AH30,i_128w_2k_10_r310iadc_gpio_ext<0>,IOB,IO_L04N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AH31,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,,
